STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VN120027,MYBVN1200275,SEB IMTN 4.500% 19.01.2022,02-JAN-2020,3.449,3.414,3.379,102.054,102.124,102.193,1.904,4.705,0,0,0,-.005,-.005,-.006,1.7
VN140171,MYBVN1401717,SEB IMTN 5.000% 04.07.2024,02-JAN-2020,3.583,3.548,3.513,105.842,105.992,106.141,3.936,18.727,0,0,0,-.007,-.006,-.007,1.7
VN150159,MYBVN1501599,SEB IMTN 4.750% 18.08.2025,02-JAN-2020,3.638,3.608,3.578,105.606,105.763,105.919,4.853,28.054,0,0,0,-.005,-.005,-.006,2.3
VS110215,MYBVS1102157,SEB IMTN 5.650% 23.06.2026,02-JAN-2020,3.669,3.639,3.609,111.32,111.503,111.686,5.464,35.461,0,0,0,-.009,-.009,-.009,2
VS120026,MYBVS1200266,SEB IMTN 4.850% 19.01.2027,02-JAN-2020,3.69,3.66,3.63,107.135,107.327,107.52,5.861,41.225,0,0,0,-.005,-.005,-.005,2
VN180337,MYBVN1803375,SEB IMTN 4.700% 24.11.2028,02-JAN-2020,3.764,3.734,3.704,107.015,107.249,107.485,7.263,62.79,0,0,0,-.004,-.004,-.004,2.7
VS140170,MYBVS1401708,SEB IMTN 5.500% 04.07.2029,02-JAN-2020,3.779,3.749,3.719,113.631,113.888,114.146,7.353,66.737,0,0,0,-.007,-.007,-.006,2
VS160109,MYBVS1601091,SEB IMTN 5.040% 25.04.2031,02-JAN-2020,3.838,3.808,3.778,110.94,111.231,111.524,8.673,92.053,0,0,0,-.004,-.005,-.004,2.7
VS170389,MYBVS1703897,SEB IMTN 5.320% 03.12.2032,02-JAN-2020,3.929,3.899,3.869,113.983,114.31,114.639,9.535,112.934,0,0,0,-.005,-.005,-.005,2
VS180336,MYBVS1803366,SEB IMTN 4.950% 25.11.2033,02-JAN-2020,3.978,3.948,3.918,110.296,110.634,110.974,10.17,128.869,0,0,0,-.003,-.003,-.003,2.7
VX150158,MYBVX1501580,SEB IMTN 5.280% 17.08.2035,02-JAN-2020,4.07,4.04,4.01,113.882,114.257,114.633,10.767,149.66,0,0,0,-.003,-.003,-.004,2.7
VX160108,MYBVX1601083,SEB IMTN 5.180% 25.04.2036,02-JAN-2020,4.101,4.071,4.041,112.735,113.118,113.503,11.221,161.927,0,0,0,-.003,-.003,-.003,2.3
PM110032,MYBPM1100321,BESRAYA 4.720% 28.07.2020,02-JAN-2020,3.525,3.464,3.403,100.667,100.701,100.736,.55,.578,-.01,-.01,-.01,0,-.001,-.001,2
PN110033,MYBPN1100337,BESRAYA 4.800% 28.07.2021,02-JAN-2020,3.667,3.596,3.525,101.711,101.82,101.929,1.476,2.976,-.005,-.005,-.005,.002,.002,.001,0
PO110034,MYBPO1100343,BESRAYA 4.880% 28.07.2022,02-JAN-2020,3.777,3.716,3.655,102.675,102.826,102.977,2.357,6.987,0,0,0,-.006,-.006,-.006,2.3
PP110035,MYBPP1100357,BESRAYA 4.960% 28.07.2023,02-JAN-2020,3.882,3.811,3.74,103.559,103.799,104.04,3.195,12.446,-.002,-.002,-.002,.002,.001,.001,0
PQ110036,MYBPQ1100363,BESRAYA 5.040% 26.07.2024,02-JAN-2020,3.967,3.896,3.825,104.438,104.74,105.043,3.985,19.144,-.001,-.001,-.001,0,0,-.001,0
PR110037,MYBPR1100379,BESRAYA 5.120% 28.07.2025,02-JAN-2020,4.039,3.968,3.897,105.341,105.704,106.068,4.744,27.066,0,0,0,-.005,-.005,-.005,0
PS110038,MYBPS1100385,BESRAYA 5.200% 28.07.2026,02-JAN-2020,4.089,4.028,3.967,106.342,106.704,107.068,5.459,35.937,0,0,0,-.004,-.005,-.004,2
PT110039,MYBPT1100391,BESRAYA 5.280% 28.07.2027,02-JAN-2020,4.15,4.089,4.028,107.274,107.684,108.097,6.135,45.658,0,0,0,-.004,-.005,-.005,2.3
PU110040,MYBPU1100407,BESRAYA 5.360% 28.07.2028,02-JAN-2020,4.211,4.15,4.089,108.192,108.649,109.108,6.773,56.102,0,0,0,-.004,-.004,-.005,2.7
